"customer_id","gender","most_common_region","age","age_band","total_orders","lifetime_spend","avg_order_value","first_order_date","last_order_date","customer_tenure_days","return_count","has_return_flag"
"CUST0001","Female","East",38,"36-45","2","6150.00","3075.00","2023-04-10","2023-04-26",16,"2",True
"CUST0002","Female","East",23,"18-25","3","1550.00","516.67","2023-01-18","2023-09-10",235,"1",True
"CUST0003","Male","North",63,"56-65","3","4890.00","1630.00","2023-02-14","2023-11-06",265,"0",False
"CUST0004","Female","North",65,"56-65","5","6500.00","1300.00","2023-02-14","2024-01-03",323,"2",True
"CUST0005","Female","East",56,"56-65","1","60.00","60.00","2023-02-15","2023-02-15",0,"0",False
"CUST0006","Female","East",52,"46-55","6","10400.00","1733.33","2023-01-24","2023-09-17",236,"0",False
"CUST0007","Female","East",52,"46-55","3","1100.00","366.67","2023-01-16","2023-10-28",285,"0",False
"CUST0008","Female","North",18,"18-25","4","1370.00","342.50","2023-01-10","2023-06-30",171,"0",False
"CUST0009","Male","West",50,"46-55","1","200.00","200.00","2023-10-08","2023-10-08",0,"0",False
"CUST0010","Female","West",37,"36-45","6","10000.00","1666.67","2023-01-04","2023-12-27",357,"1",True
"CUST0011","Female","West",54,"46-55","4","7466.86","1866.72","2023-04-06","2023-12-18",256,"1",True
"CUST0012","Female","East",28,"26-35","5","3990.00","798.00","2023-02-11","2023-08-31",201,"2",True
"CUST0013","Female","East",55,"46-55","2","1000.00","500.00","2023-03-16","2023-08-13",150,"1",True
"CUST0014","Male","South",20,"18-25","1","300.00","300.00","2023-12-18","2023-12-18",0,"1",True
"CUST0015","Male","North",58,"56-65","2","7800.00","3900.00","2023-03-22","2023-07-21",121,"1",True
"CUST0016","Female","East",61,"56-65","5","2900.00","580.00","2023-01-10","2023-11-26",320,"0",False
"CUST0017","Female","West",36,"36-45","1","250.00","250.00","2023-12-17","2023-12-17",0,"0",False
"CUST0018","Female","South",38,"36-45","3","910.00","303.33","2023-04-16","2023-11-28",226,"0",False
"CUST0019","Female","East",69,"66+","4","3750.00","937.50","2023-04-05","2023-11-07",216,"1",True
