customer_id,gender,most_common_region,age,age_band,total_orders,lifetime_spend,avg_order_value,first_order_date,last_order_date,customer_tenure_days,return_count,has_return_flag,recency_days,Recency,Frequency,Monetary,segment
CUST0001,Female,East,38.0,36-45,2,6150.0,3075.0,2023-04-10,2023-04-26,16,2,True,253,253,2,6150.0,At Risk / Lost
CUST0002,Female,East,23.0,18-25,3,1550.0,516.67,2023-01-18,2023-09-10,235,1,True,116,116,3,1550.0,Developing Customers
CUST0003,Male,North,63.0,56-65,3,4890.0,1630.0,2023-02-14,2023-11-06,265,0,False,59,59,3,4890.0,Developing Customers
CUST0004,Female,North,65.0,56-65,5,6500.0,1300.0,2023-02-14,2024-01-03,323,2,True,1,1,5,6500.0,Loyal Customers
CUST0005,Female,East,56.0,56-65,1,60.0,60.0,2023-02-15,2023-02-15,0,0,False,323,323,1,60.0,At Risk / Lost
CUST0006,Female,East,52.0,46-55,6,10400.0,1733.33,2023-01-24,2023-09-17,236,0,False,109,109,6,10400.0,Loyal Customers
CUST0007,Female,East,52.0,46-55,3,1100.0,366.67,2023-01-16,2023-10-28,285,0,False,68,68,3,1100.0,Developing Customers
CUST0008,Female,North,18.0,18-25,4,1370.0,342.5,2023-01-10,2023-06-30,171,0,False,188,188,4,1370.0,At Risk / Lost
CUST0009,Male,West,50.0,46-55,1,200.0,200.0,2023-10-08,2023-10-08,0,0,False,88,88,1,200.0,Developing Customers
CUST0010,Female,West,37.0,36-45,6,10000.0,1666.67,2023-01-04,2023-12-27,357,1,True,8,8,6,10000.0,Loyal Customers
CUST0011,Female,West,54.0,46-55,4,7466.86,1866.72,2023-04-06,2023-12-18,256,1,True,17,17,4,7466.86,Loyal Customers
CUST0012,Female,East,28.0,26-35,5,3990.0,798.0,2023-02-11,2023-08-31,201,2,True,126,126,5,3990.0,Loyal Customers
CUST0013,Female,East,55.0,46-55,2,1000.0,500.0,2023-03-16,2023-08-13,150,1,True,144,144,2,1000.0,Developing Customers
CUST0014,Male,South,20.0,18-25,1,300.0,300.0,2023-12-18,2023-12-18,0,1,True,17,17,1,300.0,Developing Customers
CUST0015,Male,North,58.0,56-65,2,7800.0,3900.0,2023-03-22,2023-07-21,121,1,True,167,167,2,7800.0,At Risk / Lost
CUST0016,Female,East,61.0,56-65,5,2900.0,580.0,2023-01-10,2023-11-26,320,0,False,39,39,5,2900.0,Loyal Customers
