"row_id","customer_id","gender","region","age","age_band","product_name","category","unit_price","quantity","total_price","total_price_flagged","shipping_fee","shipping_status","order_date"
1,"CUST0268","Male","North",NULL,"Unknown","Monitor","Electronics","300.00",5,"1500.00",False,"13.31","Returned","2023-12-08"
2,"CUST0046","Male","West",22,"18-25","Headphones","Accessories","100.00",2,"200.00",False,"6.93","In Transit","2023-04-09"
3,"CUST0169","Female","South",54,"46-55","Monitor","Electronics","300.00",1,"300.00",False,"11.31","Returned","2023-08-28"
4,"CUST0002","Male","North",23,"18-25","Headphones","Accessories","100.00",5,"500.00",False,"12.22","Delivered","2023-01-18"
5,"CUST0173","Female","South",NULL,"Unknown","Laptop","Electronics","1500.00",3,"4500.00",False,"5.40","Delivered","2023-01-19"
6,"CUST0147","Male","North",64,"56-65","Smartwatch","Wearables","200.00",2,"400.00",False,"11.26","In Transit","2023-01-11"
7,"CUST0262","Male","East",27,"26-35","Smartwatch","Wearables","200.00",1,"200.00",False,"18.38","In Transit","2023-10-23"
8,"CUST0159","Female","South",18,"18-25","Keyboard","Accessories","50.00",2,"100.00",False,"15.08","Returned","2023-06-15"
9,"CUST0046","Female","East",22,"18-25","Mouse","Accessories","30.00",1,"30.00",False,"8.22","Returned","2023-02-25"
10,"CUST0023","Male","West",29,"26-35","Headphones","Accessories","100.00",3,"300.00",False,"10.70","Delivered","2023-04-23"
11,"CUST0201","Female","East",49,"46-55","Headphones","Accessories","100.00",2,"200.00",False,"9.80","Returned","2023-06-01"
12,"CUST0283","Female","West",67,"66+","Mouse","Accessories","30.00",3,"90.00",False,"5.65","In Transit","2023-09-13"
13,"CUST0199","Female","West",41,"36-45","Keyboard","Accessories","50.00",5,"250.00",False,"7.13","Delivered","2023-02-17"
14,"CUST0039","Male","South",60,"56-65","Keyboard","Accessories","50.00",4,"200.00",False,"10.91","Returned","2023-12-10"
15,"CUST0276","Male","West",66,"66+","Mouse","Accessories","30.00",1,"30.00",False,"11.36","In Transit","2023-06-29"
16,"CUST0143","Female","Unknown",36,"36-45","Smartwatch","Wearables","200.00",3,"600.00",False,"7.89","Delivered","2023-07-14"
17,"CUST0139","Male","North",57,"56-65","Laptop","Electronics","1500.00",4,"6000.00",False,"10.92","In Transit","2023-05-13"
18,"CUST0210","Male","South",30,"26-35","Smartphone","Electronics","800.00",2,"1600.00",False,"11.44","Returned","2023-06-09"
19,"CUST0293","Female","East",32,"26-35","Smartwatch","Wearables","200.00",5,"1000.00",False,"7.16","In Transit","2023-06-21"
20,"CUST0049","Female","West",59,"56-65","Monitor","Electronics","300.00",4,"1200.00",False,"17.37","In Transit","2023-11-26"
21,"CUST0283","Female","East",67,"66+","Smartphone","Electronics","800.00",5,"4000.00",False,"12.17","Delivered","2023-11-08"
22,"CUST0196","Female","South",37,"36-45","Mouse","Accessories","30.00",3,"90.00",False,"19.41","Returned","2023-12-27"
23,"CUST0050","Male","North",NULL,"Unknown","Mouse","Accessories","30.00",3,"90.00",False,"6.97","Returned","2023-06-06"
24,"CUST0007","Female","East",52,"46-55","Headphones","Accessories","100.00",2,"200.00",False,"12.00","In Transit","2023-10-28"
25,"CUST0242","Male","North",58,"56-65","Smartphone","Electronics","800.00",4,"3200.00",False,"18.11","Unknown","2023-12-30"
26,"CUST0042","Female","South",57,"56-65","Keyboard","Accessories","50.00",1,"50.00",False,"9.60","Delivered","2023-12-04"
27,"CUST0264","Male","East",59,"56-65","Smartphone","Electronics","1658.43",2,"3316.86",True,"11.59","In Transit","2023-02-01"
28,"CUST0053","Female","North",25,"18-25","Smartwatch","Wearables","200.00",1,"200.00",False,"14.90","Delivered","2023-08-14"
29,"CUST0154","Female","East",31,"26-35","Smartphone","Electronics","800.00",1,"800.00",False,"19.22","In Transit","2023-12-07"
30,"CUST0190","Male","North",28,"26-35","Keyboard","Accessories","50.00",4,"200.00",False,"15.31","Delivered","2023-06-28"
31,"CUST0038","Female","East",57,"56-65","Monitor","Electronics","300.00",2,"600.00",False,"12.38","Returned","2023-11-17"
32,"CUST0288","Female","South",NULL,"Unknown","Laptop","Electronics","1500.00",4,"6000.00",False,"12.91","Delivered","2023-01-25"
33,"CUST0124","Female","South",53,"46-55","Monitor","Electronics","300.00",2,"600.00",False,"18.38","In Transit","2023-09-05"
34,"CUST0298","Female","South",58,"56-65","Headphones","Accessories","100.00",5,"500.00",False,"7.41","Delivered","2023-09-17"
35,"CUST0211","Female","South",35,"26-35","Mouse","Accessories","30.00",3,"90.00",False,"11.42","Delivered","2023-12-25"
36,"CUST0060","Male","North",41,"36-45","Laptop","Electronics","1500.00",4,"6000.00",False,"7.13","Delivered","2023-01-14"
37,"CUST0284","Female","West",64,"56-65","Monitor","Electronics","300.00",1,"300.00",False,"6.55","Returned","2023-08-01"
38,"CUST0282","Male","North",NULL,"Unknown","Smartphone","Electronics","800.00",2,"1600.00",False,"9.72","Delivered","2023-02-12"
39,"CUST0205","Female","South",43,"36-45","Monitor","Electronics","300.00",2,"600.00",False,"18.27","In Transit","2023-05-18"
40,"CUST0222","Female","Unknown",61,"56-65","Smartphone","Electronics","800.00",2,"1600.00",False,"6.01","Returned","2023-10-03"
41,"CUST0299","Male","East",58,"56-65","Keyboard","Accessories","50.00",2,"100.00",False,"9.57","Returned","2023-08-30"
42,"CUST0064","Male","West",61,"56-65","Monitor","Electronics","300.00",1,"300.00",False,"13.82","Returned","2023-09-15"
43,"CUST0073","Male","East",19,"18-25","Keyboard","Accessories","50.00",4,"200.00",False,"5.32","Delivered","2023-02-14"
44,"CUST0154","Male","North",31,"26-35","Keyboard","Accessories","50.00",3,"150.00",False,"7.46","Delivered","2023-02-27"
45,"CUST0081","Male","North",38,"36-45","Monitor","Electronics","300.00",1,"300.00",False,"17.22","Returned","2023-08-13"
46,"CUST0247","Male","East",44,"36-45","Headphones","Accessories","100.00",2,"200.00",False,"8.15","In Transit","2023-05-09"
47,"CUST0130","Male","East",68,"66+","Monitor","Electronics","300.00",2,"600.00",False,"9.56","Unknown","2023-12-23"
48,"CUST0178","Male","West",44,"36-45","Smartwatch","Wearables","200.00",3,"600.00",False,"18.09","In Transit","2023-10-28"
49,"CUST0131","Female","West",67,"66+","Laptop","Electronics","1500.00",4,"6000.00",False,"7.01","Delivered","2023-09-01"
50,"CUST0070","Male","West",23,"18-25","Monitor","Electronics","300.00",3,"900.00",False,"12.58","Returned","2023-04-16"
51,"CUST0122","Male","West",68,"66+","Headphones","Accessories","100.00",2,"200.00",False,"13.49","In Transit","2023-12-13"
52,"CUST0168","Female","East",42,"36-45","Monitor","Electronics","300.00",4,"1200.00",False,"18.15","In Transit","2023-03-27"
53,"CUST0176","Male","South",51,"46-55","Laptop","Electronics","1500.00",2,"3000.00",False,"7.43","Delivered","2023-11-16"
54,"CUST0064","Female","West",61,"56-65","Laptop","Electronics","1500.00",2,"3000.00",False,"5.42","Returned","2023-06-14"
55,"CUST0125","Female","South",46,"46-55","Smartphone","Electronics","800.00",5,"4000.00",False,"10.62","Returned","2023-01-26"
56,"CUST0165","Female","West",49,"46-55","Keyboard","Accessories","50.00",4,"200.00",False,"19.72","Unknown","2023-12-25"
57,"CUST0057","Male","North",62,"56-65","Keyboard","Accessories","50.00",4,"200.00",False,"12.79","Delivered","2023-09-29"
58,"CUST0207","Male","South",54,"46-55","Laptop","Electronics","1500.00",1,"1500.00",False,"5.16","Delivered","2023-03-14"
59,"CUST0167","Female","North",67,"66+","Headphones","Accessories","100.00",2,"200.00",False,"11.65","Returned","2023-12-14"
60,"CUST0006","Male","South",52,"46-55","Laptop","Electronics","1500.00",5,"7500.00",False,"19.69","In Transit","2023-09-17"
61,"CUST0041","Male","East",64,"56-65","Smartphone","Electronics","800.00",4,"3200.00",False,"17.27","In Transit","2023-08-08"
62,"CUST0112","Male","North",33,"26-35","Monitor","Electronics","300.00",4,"1200.00",False,"14.88","Delivered","2023-04-12"
63,"CUST0244","Female","West",24,"18-25","Headphones","Accessories","100.00",3,"300.00",False,"8.49","In Transit","2023-02-21"
64,"CUST0218","Male","East",36,"36-45","Headphones","Accessories","100.00",2,"200.00",False,"7.71","Returned","2023-11-03"
65,"CUST0073","Male","North",19,"18-25","Monitor","Electronics","300.00",5,"1500.00",False,"13.70","In Transit","2023-01-16"
66,"CUST0083","Male","East",28,"26-35","Monitor","Electronics","300.00",1,"300.00",False,"17.98","Returned","2024-01-03"
67,"CUST0065","Female","East",NULL,"Unknown","Headphones","Accessories","100.00",2,"200.00",False,"13.06","Returned","2023-02-05"
68,"CUST0096","Female","Unknown",61,"56-65","Smartphone","Electronics","800.00",4,"3200.00",False,"11.79","In Transit","2023-02-07"
69,"CUST0060","Male","South",41,"36-45","Keyboard","Accessories","50.00",4,"200.00",False,"19.12","Returned","2023-04-03"
70,"CUST0045","Male","East",21,"18-25","Mouse","Accessories","30.00",1,"30.00",False,"6.17","In Transit","2023-10-23"
71,"CUST0296","Female","North",50,"46-55","Keyboard","Accessories","50.00",2,"100.00",False,"13.82","In Transit","2023-07-25"
72,"CUST0261","Male","West",48,"46-55","Laptop","Electronics","1500.00",5,"7500.00",False,"15.95","Returned","2023-10-01"
73,"CUST0077","Male","South",50,"46-55","Keyboard","Accessories","50.00",5,"250.00",False,"10.89","Delivered","2023-03-19"
74,"CUST0227","Female","West",54,"46-55","Keyboard","Accessories","50.00",4,"200.00",False,"9.22","Returned","2023-10-05"
75,"CUST0284","Female","North",64,"56-65","Keyboard","Accessories","50.00",3,"150.00",False,"17.76","In Transit","2023-04-11"
76,"CUST0245","Male","North",63,"56-65","Mouse","Accessories","30.00",1,"30.00",False,"13.28","Returned","2023-09-11"
77,"CUST0133","Female","North",47,"46-55","Smartphone","Electronics","800.00",1,"800.00",False,"11.29","Returned","2023-10-28"
78,"CUST0179","Male","North",45,"36-45","Keyboard","Accessories","50.00",2,"100.00",False,"19.04","Delivered","2023-03-16"
